Name of Institution,Affiliation Number,State,District,Postal Address,Pincode,Std Code,Office Phone No,Residence Phone No,Fax No,Email,Website,Year of Foundation,Date of First Opening of School,Name of Principal/Head of Institution,Sex,Principals Educational Professional Qualifications,Administrative No of Experience(in Years),Teaching No of Experience(in Years),Status of the School,Type of Affiliation,Affiliation Period From,Affiliation Period To,Name of Trust/Society/Managing Committee,,,,,,,,
GOVT. SECONDARY SCHOOL,2520089,ANDAMAN & NICOBAR,NANCOWRY,"KUITASUKH, CHOWRA, ISLAND, NANCOWRY, A & N ISLAND",,3193,"263225 ,",9434288211,,gsskuitasuk@gmail.com,,,,SH. K SANKARAN,0,,,,Secondary School,Provisional,1/4/2013,31/3/2018,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GOVT. SECONDARY SCHOOL,2520063,ANDAMAN & NICOBAR,NANCOWRY,PILPILLOW NANCOWRIE A & N ISLANDS,744303,,",",,,rnr@andaman.tn.nic.in,,1953,,AMJAD HUSSAIN,,,,,Secondary School,Provisional,1/4/1999,31/3/2007,D P I,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GOVT SECONDARY SCHOOL,2520071,ANDAMAN & NICOBAR,NICOBAR,WESTBAY KATCHAL KATCHAL ISLANDS ANDAMAN & NICOBAR ISLANDS,744304,,",",,,rnr@andaman.tn.nic.in,,1949,,SH ALI,0,,,,Secondary School,Provisional,1/4/2004,31/3/2009,D.P.I.,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GOVT SR SEC SCHOOL,2520029,ANDAMAN & NICOBAR,NICOBAR,KAPANGA KATCHAL ISLANDS NICOBAR DISTRICT A & N ISLANDS,744304,,",",,,rnr@andaman.tn.nic.in,,1985,,MR M P SINGH,,,,,Senior Secondary,Provisional,1/4/2002,31/ 3/ 2007,ANDAMAN ADMINISTRATION,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GOVT SR SEC SCHOOL,2520036,ANDAMAN & NICOBAR,NICOBAR,CHAMPIN NANCOWRIE P.O. A & N ISLANDS,744303,,"33204 ,",33204,,rnr@andaman.tn.nic.in,,1954,4/1/2005 0:00,SH NATHANIEL,0,,,,Senior Secondary,Provisional,1/4/2017,31/ 3/ 2020,DEPT OF EDUCATION -A&N ISLANDS,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jawahar navodaya vidyalaya,2540001,ANDAMAN & NICOBAR,NICOBAR,arong car nicobar po nicobar distt a & n islands 744301 a & n islands,744301,0,"3192292804 ,",,,sachinkharat81@rediffmail.com,,1987,3/31/2012 0:00,SACHIN D KHARAT,2,,,,Secondary School,Provisional,1/4/2018,31/3/2019,navodaya vidyalaya samiti,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GOVERNMENT SR SECONDARY SCHOOL,2520075,ANDAMAN & NICOBAR,NORTH ANDAMAN,C F O NALLAH VIL. DHARAMPUR PO BETAPUR A & N ISLANDS,744201,3192,"270087 ,",,,sscfo1967@gmail.com,,,,SAROJ KUMAR BANERJEE,0,,,,Senior Secondary,Provisional,1/4/2014,31/ 3/ 2021,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
govt secondary school,2520032,ANDAMAN & NICOBAR,NORTH ANDAMAN,shibpur aerial bay p.o nth andaman a & n islands,744202,3192,"272389 ,",84351,,gssshibpur@gmail.com,,1954,4/1/1991 0:00,M RAJESHWARAN,1,"m.a, bed",22,22,Secondary School,Provisional,1/4/2015,31/3/2020,dept of education - a&n islands,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GOVT SENIOR SECONDARY SCHOOL,2520046,ANDAMAN & NICOBAR,NORTH ANDAMAN,KISHORI NAGAR NORTH ANDAMAN A & N ISLANDS,744202,3192,"282618 ,",3192282618,,rnr@andaman.tn.nic.in,,1958,4/1/1991 0:00,MOTILAL HOWLADAR,2,M.A.,5,30,Senior Secondary,Provisional,1/4/2007,31/ 3/ 2012,DEPT. OF EDUCATION - A&N ISLANDS,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GOVT SR SECONDARY SCHOOL,2520031,ANDAMAN & NICOBAR,NORTH ANDAMAN,SWARAJGRAM POST DIGLIPUR NORTH ANDAMAN A & N ISLANDS,744202,319,"272927 ,",,,sblall62@gmail.com,,1960,4/1/1991 0:00,SUSAMA BISWAS,0,,,,Senior Secondary,Provisional,1/4/2013,31/ 3/ 2015,DIRECTORATE OF EDUCATION A&N ADMN,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GOVT SEC SCHOOL,2520080,ANDAMAN & NICOBAR,NORTH ANDAMAN,MOHANPUR V MAYABUNDER NORTH ANDEMAN,744206,,",",,,,,1961,,SUBINOY DEY,,,,,Secondary School,Provisional,1/4/2008,31/3/2009,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
govt secondary school,2520052,ANDAMAN & NICOBAR,NORTH ANDAMAN,ram nagar post digilipur via nth andaman a & n islands,744202,319,"217755 ,",84489,,gssrndp@gmail.com,,1960,4/1/1991 0:00,USHA KUMAR PALADUGU,2,m.a.,5,30,Secondary School,Provisional,1/4/2008,31/3/2016,government body,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GOVT SECONDARY SCHOOL,2520072,ANDAMAN & NICOBAR,NORTH ANDAMAN,KARMATANG NO 10 MAYABUNDER P.O A & N ISLANDS,744204,0,"0 ,",73755,,swapnayaan@gmail.com,,1928,4/1/1991 0:00,SWAPNA DAS,1,"m.a, bed",22,22,Secondary School,Provisional,1/4/2010,31/3/2015,dept of education - a&n islands,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GOVT SR SEC SCHOOL,2520008,ANDAMAN & NICOBAR,NORTH ANDAMAN,MAYABUNDER NORTH ANDAMAN A & N ISLANDS,744204,3192,"273216 ,",35039,,sulochana065@gmail.com,,1948,4/1/1991 0:00,SULOCHANA,1,M.SC.B.Ed,10,23,Senior Secondary,Provisional,1/4/2016,31/ 3/ 2021,DIRECTOR OF EDUCATION PORTBLAIR,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
govt sr sec school,2520017,ANDAMAN & NICOBAR,NORTH ANDAMAN,kalighat p.o nth andaman a & n islands,744204,3192,"278023 ,",3192282618,,gssskg@gmail.com,,1950,4/1/1991 0:00,USHA KUMAR PALADUGU,2,m.a.,5,30,Senior Secondary,Provisional,1/4/2010,31/ 3/ 2015,governmetn,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
govt sr secondary school,2520012,ANDAMAN & NICOBAR,NORTH ANDAMAN,diglipur nth andaman a & n islands,744202,3192,"272224 ,",72416,,,,1958,4/1/1991 0:00,S GURUMOORTHY,1,"m.a, bed",22,22,Senior Secondary,Provisional,1/4/2015,31/ 3/ 2020,directate of education pt blair,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
govt. model sr. sec. school,2520085,ANDAMAN & NICOBAR,NORTH ANDAMAN,"sita nagar, diglipur, nth & middle andaman",744202,319,"2271044 ,",9332956199,,sitanagarprincipal@yahoo.com,,1961,4/1/1991 0:00,ASHOK KUMAR TIWARI,0,,,,Senior Secondary,Provisional,1/4/2015,31/ 3/ 2020,n.v.s,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
govt. secondary school,2520061,ANDAMAN & NICOBAR,NORTH ANDAMAN,keralapuram diglipur aerial bay po nth andaman a & n islands,744202,0,"0 ,",33340,,bvrreddy91@gmail.com,,1975,4/1/1991 0:00,B V R REDDY,1,m.sc.b.ed,10,23,Secondary School,Provisional,1/4/2014,31/3/2019,u t administration,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vivekananda kendra zilla parishad vidyalaya,2520091,ANDAMAN & NICOBAR,NORTH ANDAMAN,"pahalgaon, po tugapur, maya bunder, village, pahalgaon, nth & middle andaman",744204,3192,"276748 ,",,,vkzpvpahalgaon@gmail.com,,1981,4/1/1991 0:00,KAMAL CHANDRA DAS,0,,,,Secondary School,Provisional,1/4/2018,31/3/2019,chandigarh administration,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"vivekananda kendra zilla parishad vidyalaya, diglipur",2520095,ANDAMAN & NICOBAR,NORTH ANDAMAN,r.k. gram,744202,3825,"09436486938 ,",296058,,emrsrajnagar@gmail.com,,1987,4/30/2014 0:00,-,0,,,,Senior Secondary,Provisional,1/4/2019,31/ 3/ 2020,navodaya vidyalaya samiti,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
govt girls sr sec school,2520002,ANDAMAN & NICOBAR,PORT BLAIR,pt blair a & n islands 744104,744104,3192,"232344 ,",30408,,sangeeta_230940@yahoo.co.in,,1957,4/1/1991 0:00,SANGEETA CHAND,0,m.a. b.ed.,,,Senior Secondary,Provisional,1/4/2019,31/ 3/ 2020,government,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
govt rabindra bangla vidyalaya,2520003,ANDAMAN & NICOBAR,PORT BLAIR,pt blair a & n islands 744101,744101,3192,"233410 ,",36235,,lokeshdoe@gmail.com,,1995,4/1/1991 0:00,LOKESH KUMAR,0,m.a. b.ed.,,,Senior Secondary,Provisional,1/4/2019,31/ 3/ 2021,government,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GOVT SEC SCHOOL,2520047,ANDAMAN & NICOBAR,PORT BLAIR,BENGALI TERESSA ISLAND VIA ABERDEEN BAZAR PORT BLAIR A & N ISLANDS,744104,3193,"263225 ,",2245644,2447532,monna.india@gmail.com,,1963,7/3/1995 0:00,SUCIFAITH,2,"m.a. m.ed.,",30,30,Senior Secondary,Provisional,1/4/2018,31/ 3/ 2022,GOVT OF ANDAMAN & NICOBAR ISLANDS,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
govt sec school,2520076,ANDAMAN & NICOBAR,PORT BLAIR,delanipur haddo po pt blair a & n islands,744102,319,"241199 ,",86139,,gssdelanipur1960@gmail.com,,1952,4/1/1991 0:00,CHAYA RANI SAMANTA,2,m.a.,5,30,Secondary School,Provisional,1/4/2015,31/3/2018,dept. of education - andaman,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GOVT SEC SCHOOL,2520078,ANDAMAN & NICOBAR,PORT BLAIR,MILDERA II KATCHAL PORT BLAIR A & N ISLANDS,,,",",,,,,,,K VALLU,,,,,Secondary School,Provisional,1/4/2002,31/3/2007,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
govt sec school (tamil & english),2520007,ANDAMAN & NICOBAR,PORT BLAIR,haddo post pt blair a & n islands,744102,3192,"32286 ,",35039,,hmgss_htem10@rediffmail.com,,1963,4/1/1991 0:00,jawahar lal maurya(h.m),1,m.sc.b.ed,10,23,Secondary School,Provisional,1/4/2008,31/3/2014,andaman and nicobar admn ptblair,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
govt secondary school,2520042,ANDAMAN & NICOBAR,PORT BLAIR,dairy farm p.o junglighat pt blair a & n islands,744103,3192,"231059 ,",35023,2358390,anujollyraju@gmail.com,,1986,4/1/1991 0:00,ANU RAJU,1,"m.sc., m.phil., m.ed.",10,10,Secondary School,Provisional,1/4/2015,31/3/2021,dept. of education - a&n islands,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GOVT SR SEC SCHOOL,2520059,ANDAMAN & NICOBAR,PORT BLAIR,MOHANPURA PORT BLAIR A & N ISLANDS,744101,3192,"233847 ,",31964,,gsssmohanpura@gmail.com,,1992,,RITA RANI BISWAS,,,,,Senior Secondary,Provisional,1/4/2009,31/ 3/ 2015,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
govt sr sec school (hindi medium),2520005,ANDAMAN & NICOBAR,PORT BLAIR,haddo post pt blair a & n islands,744102,3192,"34838 ,",37475,,rnr@andaman.tn.nic.in,,1957,4/1/1991 0:00,mr s r singh,0,,,,Senior Secondary,Provisional,1/4/2008,31/ 3/ 2014,education dept. - a & m islands,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INVENT PUBLIC SCHOOL,2530021,ANDAMAN & NICOBAR,PORT BLAIR,"INVENT PUBLIC SCHOOL, SIPPIGHAT VILLAGE, PORT BLAIR, SOUTH ANDAMAN",744105,,"03192260261 ,",,,inventschool2012second@gmail.com,,2012,4/1/2012 0:00,Mrs. URSULA MINJ,,"M.A.,B.Ed",10,10,Secondary School,Provisional,1/4/2018,31/3/2021,INVENT EDUCATIONAL AND CULTURAL KENDRA,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KENDRIYA VIDYALAYA NO.2,2500002,ANDAMAN & NICOBAR,PORT BLAIR,RAKSHA VIHAR MINNIE BAY PORT BLAIR A & N ISLANDS,744103,3192,"225093 ,",34918,232411,thekumarvijay@rediffmail.com,http://www.prkv1ptblair,1986,4/1/1991 0:00,VIJAY KUMAR,1,m.scphysics b.ed,2,10,Senior Secondary,Provisional,1/4/2016,31/ 3/ 2021,KENDRIYA VIDYALAYA SANGATHAN,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NIRMALA SR SEC SCHOOL,2530002,ANDAMAN & NICOBAR,PORT BLAIR,HADDO POST PORT BLAIR A & N ISLANDS,744102,3192,"232915 ,",33491,225584,joyline10@gmail.com,,1996,4/1/2005 0:00,CAROLINE MATHEW,2,MSc BEd M Phil,5,11,Senior Secondary,Provisional,1/4/2014,31/ 3/ 2019,I I MANORITIES EDU. DEV. SOCIETY,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAGRITARA SCHOOL,2530020,ANDAMAN & NICOBAR,PORT BLAIR,"PREM NAGAR, P.O. HADDO",744102,3192,"232515 ,",,,kujurpreety@gmail.com,http://www.sagritaraschoolportblair.org,1968,6/1/1968 0:00,PREETY KUJUR,,Ph.D (Political Science),8,43,Secondary School,Provisional,1/4/2017,31/3/2020,ASSOCIATION OF CATHOLIC ANDAMAN AND NICOBAR ISLANDS,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SARASWATI SHISHU MANDIR,2530009,ANDAMAN & NICOBAR,PORT BLAIR,PATHER GUDDA GARACHARMA PORT BLAIR ANDAMAN NICOBAR ISLAND,110085,3192,"250331 ,",27072973,24865968,crpfps@del2.vsnl.net.in,,1988,4/1/1996 0:00,SURAJ PRAKASH,2,"MA, BEd",15,20,Senior Secondary,Provisional,1/4/2017,31/ 3/ 2020,SARASWATI SHIKSHA SAMITI,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
st. mary's school,2530010,ANDAMAN & NICOBAR,PORT BLAIR,"garacharma, bathubasti, pt blair,",744101,319,"251834 ,",,,achammakuriakose@rediffmail.com,,,,ACHAMMA KURIAKOSE,0,,,,Senior Secondary,Provisional,1/4/2014,31/ 3/ 2019,bal kalayan samiti,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VITALA PUBLIC SCHOOL,2530012,ANDAMAN & NICOBAR,PORT BLAIR,"HOPE TOWN BAMBOO FLAT, SOUTH ANDAMAN FERRARGUNG PORTBLAR",744107,3192,"258294 ,",,,jayanair66@yahoo.com,,1972,4/1/2010 0:00,JAGADAMMA P K,0,,,,Senior Secondary,Provisional,1/4/2016,31/ 3/ 2019,the mainik edn. society,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GOVERNMENT SECONDARY SCHOOL,2520074,ANDAMAN & NICOBAR,SOUTH ANDAMAN,PRATHRAPUR BRIJKUNJ PO BRICHKUNJ P O A & N ISLANDS,744206,3192,"55254 ,",55610,,rnr@andaman.tn.nic.in,,1961,4/1/1991 0:00,BHAGWAN DASS,1,m.sc.b.ed,10,23,Secondary School,Provisional,1/4/2013,31/3/2018,andaman and nicober adminstration,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
govt boys sr sec school,2520001,ANDAMAN & NICOBAR,SOUTH ANDAMAN,middle point pt blair a & n islands,744101,3192,"232275 ,",31444,,gbsssprincipal@gmail.com,,1995,4/1/1991 0:00,MALATI SINGH,0,,,,Senior Secondary,Provisional,1/4/2019,31/ 3/ 2020,government,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GOVT MODEL SENIOR SECONDARY SCHOOL,2520034,ANDAMAN & NICOBAR,SOUTH ANDAMAN,FERRARGUNJ P.O.BEACHDERA SOUTH ANDAMAN A & N ISLANDS,744101,319,"266180 ,",30281,,vibhesethi@yahoo.com,,1954,4/1/1991 0:00,Vibha Sethi,0,,,,Senior Secondary,Provisional,1/4/2020,31/ 3/ 2021,D.P.I.,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GOVT SEC SCHOOL,2520077,ANDAMAN & NICOBAR,SOUTH ANDAMAN,SHOAL BAY-12 SOUTH ANDEMAN A & N ISLANDS,744206,3192,"281842 ,",86139,,gssshoalbay12@gmail.com,,1961,4/1/1991 0:00,MANIMALA HALDER,2,M.A.,5,30,Secondary School,Provisional,1/4/2014,31/3/2019,N.V.S,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GOVT SEC SCHOOL,2520081,ANDAMAN & NICOBAR,SOUTH ANDAMAN,JIRKATANG 2 SOUTH ANADAMAN PORT BLAIR,744206,3192,"281574 ,",,,ramnarayan.andaman@gmail.com,,1961,,RAM NARAYAN TIWARI,,,,,Secondary School,Provisional,1/4/2009,31/3/2010,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
govt sec school,2520068,ANDAMAN & NICOBAR,SOUTH ANDAMAN,distt junglighat pt blair south andamans,744103,3192,"232255 ,",33447,,headmaster.gssjg62@gmail.com,,1982,4/1/1991 0:00,SILPI RAO,2,m.a.,5,30,Secondary School,Provisional,1/4/2008,31/3/2015,dept. of education - andaman,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
govt sec school,2520069,ANDAMAN & NICOBAR,SOUTH ANDAMAN,namunaghar south andaman a&n island,744206,319,"223630 ,",38192,,,,1961,4/1/1991 0:00,LIDIA BAGE,2,m.a.,5,30,Secondary School,Provisional,1/4/2010,31/3/2014,n.v.s,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
govt secondary school,2520082,ANDAMAN & NICOBAR,SOUTH ANDAMAN,durgapur diglipur nth andaman andaman & nicobar island,744206,319,"2272212 ,",86139,,gss_durgapur@rediffmail.com,,1961,4/1/1991 0:00,VIBHA SETHI,2,m.a.,5,30,Secondary School,Provisional,1/4/2009,31/3/2014,n.v.s,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
govt secondary school,2520038,ANDAMAN & NICOBAR,SOUTH ANDAMAN,manglutan p.o:- humphrey gunj south andaman a & n islands,744101,3192,"287311 ,",234521,2358390,gsssmanglutan@yahoo.com,,1952,4/1/1991 0:00,R DEV DAS,1,"m.sc., m.phil., m.ed.",10,10,Senior Secondary,Provisional,1/4/2015,31/ 3/ 2018,dept. of education - a&n islands,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GOVT SECONDARY SCHOOL,2520045,ANDAMAN & NICOBAR,SOUTH ANDAMAN,VILLAGE MANPUR P.O.TUSHNABAD SOUTH ANDAMAN A & N ISLANDS,744103,3192,"282618 ,",3192282618,,rnr@andaman.tn.nic.in,,1950,4/1/1991 0:00,MR P K CHATTOPADHYAYA,2,M.A.,5,30,Secondary School,Provisional,1/4/2012,31/3/2020,ANDAMAN AND NICOBAR ADMINISTRATION,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
govt secondary school,2520050,ANDAMAN & NICOBAR,SOUTH ANDAMAN,adazig (po) alkatcha baratang island south andaman a & n islands,744210,8301,"43326 ,",43640,226651,rnr@andaman.tn.nic.in,,1976,3/31/2011 0:00,mr a ummar,2,"m.a., m.ed.",7,14,Secondary School,Provisional,1/4/2018,31/3/2023,dept. of education - a&n islands,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GOVT SENIOR SECONDARY SCHOOL,2520035,ANDAMAN & NICOBAR,SOUTH ANDAMAN,MANNARGHAT WIMBERLYGUNJ P.O SOUTH ANDAMAN A & N ISLANDS,744206,3192,"255937 ,",30880,,girijarani1709@gmail.com,,1949,4/1/1991 0:00,GIRIJA RANI KR,1,"M.A, BED",22,22,Senior Secondary,Provisional,1/4/2015,31/ 3/ 2020,DEPT OF EDUCATION - A&N ISLANDS,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GOVT SENIOR SECONDARY SCHOOL,2520033,ANDAMAN & NICOBAR,SOUTH ANDAMAN,RANGA CHANG BIMLITON P.O VIA JUNGLIGHAT SOUTH ANDAMAN A & N ISLANDS,744103,3192,"281002 ,",50569,,indiradevi5260@gmail.com,,1967,,INDIRA DEVI,,,,,Senior Secondary,Provisional,1/4/2009,31/ 3/ 2015,DEPT. OF EDUCATION - A&N ISLANDS,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GOVT SR SEC SCHOOL,2520011,ANDAMAN & NICOBAR,SOUTH ANDAMAN,HAVELOCK P O HAVELOCK-3 SOUTH ANDAMAN A & N ISLANDS,744211,319,"2282382 ,",3192271649,,mandal.prabhash1961@gmail.com,,1966,4/1/1991 0:00,P C MONDAL,1,"M.A, BED",22,22,Senior Secondary,Provisional,1/4/2013,31/ 3/ 2020,GOVERNMENT OF INDIA,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
govt sr sec school,2520023,ANDAMAN & NICOBAR,SOUTH ANDAMAN,school line junglighat p.o pt blair south andaman a & n islands,744103,3192,"232836 ,",36600,,vtreddy1962@gmail.com,,1983,4/1/1991 0:00,VT REDDY,1,"m.a, bed",22,22,Senior Secondary,Provisional,1/4/2016,31/ 3/ 2021,dept. of education - a&n islands,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
govt sr sec school,2520024,ANDAMAN & NICOBAR,SOUTH ANDAMAN,pt mout p.o chouldari south andaman a & n islands,744103,3192,"289443 ,",51177,,archanasinghgssspm@gmail.com,,1973,4/1/1991 0:00,ARCHANA SINGH,1,"m.a, bed",22,22,Senior Secondary,Provisional,1/4/2016,31/ 3/ 2019,dept. of education - a&n islands,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
govt sr sec school,2520039,ANDAMAN & NICOBAR,SOUTH ANDAMAN,garacharama south andaman a & n islands,744101,3192,"250337 ,",54080,2358390,garacharmagsss2013@gmail.com,,1954,4/1/1991 0:00,ANAND KUMARI,1,"m.sc., m.phil., m.ed.",10,10,Senior Secondary,Provisional,1/4/2017,31/ 3/ 2022,andaman & nicobar administration,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GOVT SR SECONDARY SCHOOL,2520058,ANDAMAN & NICOBAR,SOUTH ANDAMAN,TUSNABAD PORT BLAIR SOUTH ANDAMAN A & N ISLANDS,744103,3192,",",33340,,gsss_tb.and@nic.in,,0,4/1/1991 0:00,P ABDUL REHMAN,1,M.SC.B.Ed,10,23,Senior Secondary,Provisional,1/4/2015,31/ 3/ 2021,U T ADMINISTRATION,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
govt sr. sec school,2520009,ANDAMAN & NICOBAR,SOUTH ANDAMAN,wimberlygunj p.o south andaman a & n islands,744206,3192,"255254 ,",55610,,gssswimberlygunj@gmail.com,,1957,4/1/1991 0:00,RITA TIWARI,1,m.sc.b.ed,10,23,Senior Secondary,Provisional,1/4/2019,31/ 3/ 2021,andaman and nicober adminstration,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
govt sr. secondary school,2520025,ANDAMAN & NICOBAR,SOUTH ANDAMAN,bambooflat p.o south andaman a & n islands,744107,3192,"255752 ,",33273,,gsss_bf@yahoo.com,,1983,4/1/1991 0:00,RENU KALA,1,"m.a, bed",22,22,Senior Secondary,Provisional,1/4/2008,31/ 3/ 2014,dept. of education - a&n islands,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GOVT SR.SECONDARY SCHOOL,2520044,ANDAMAN & NICOBAR,SOUTH ANDAMAN,BATHUBASTI POST GARACHARAMA POST VIA PORT BLAIR SOUTH ANDAMAN A & N ISLANDS,744101,319,"3192252199 ,",30322,,varghesechacko@gmail.com,,1972,4/1/1991 0:00,VARGHESE CHACKO,2,,,,Senior Secondary,Provisional,1/4/2014,31/ 3/ 2019,DIRECTORATE OF EDUCATION A N ADMN,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
govt. demonstration multi purpose,2520064,ANDAMAN & NICOBAR,SOUTH ANDAMAN,school middle point pt blair a & n islands,744101,3192,"34730 ,",32235,,rnr@andaman.tn.nic.in,,1989,4/1/1991 0:00,n r khan,1,m.sc.b.ed,10,23,Secondary School,Provisional,1/4/2018,31/3/2020,direct of education,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
govt. secondary school,2520066,ANDAMAN & NICOBAR,SOUTH ANDAMAN,south point shadipur post ptblair a & n islands,744106,3192,"229361 ,",37281,,shyamalmazumdar102@gmail.com,,1961,4/1/1991 0:00,SHYAMAL MAZUMDAR,1,m.sc.b.ed,10,23,Secondary School,Provisional,1/4/2019,31/3/2020,direct of education,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vivekananda kendra nagarpalika vidyalaya,2520096,ANDAMAN & NICOBAR,SOUTH ANDAMAN,"ranchi tekri, p.o. junglighat, pt blair, distt. south andaman, andaman & nicobar island pin-744103",,,",",,,,,,,PRINCIPAL,0,,,,Secondary School,,Secondary School,,Secondary School,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
